Gene stable ID	Gene type	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSG00000254803	pseudogene	11	89783113	89783434
ENSG00000254916	pseudogene	11	89785005	89786904
ENSG00000223709	pseudogene	11	89789145	89796167
ENSG00000255011	pseudogene	11	89804304	89806223
ENSG00000254888	pseudogene	11	89808007	89808264
ENSG00000255009	pseudogene	11	89819081	89820299
ENSG00000254436	pseudogene	11	89831589	89831985
ENSG00000207299	snoRNA	11	89851559	89851629
ENSG00000077616	protein_coding	11	89864683	89926062
ENSG00000110172	protein_coding	11	89934328	89956532
ENSG00000261645	processed_transcript	11	89984400	90648220
ENSG00000214391	pseudogene	11	90015728	90017340
ENSG00000223101	miRNA	11	90057944	90058052
ENSG00000266703	miRNA	11	90288942	90289025
ENSG00000221586	miRNA	11	90602289	90602370
ENSG00000254677	pseudogene	11	90847892	90849119
ENSG00000255070	pseudogene	11	90849129	90849723
ENSG00000255187	lincRNA	11	90891251	90900462
ENSG00000255332	lincRNA	11	91527528	91545460
ENSG00000254961	pseudogene	11	91682897	91683200
ENSG00000242248	pseudogene	11	91894272	91895055
ENSG00000235547	pseudogene	11	92069198	92069662
ENSG00000165323	protein_coding	11	92085262	92629618
ENSG00000249255	pseudogene	11	92099662	92100416
ENSG00000254705	antisense	11	92133357	92141342
ENSG00000244244	pseudogene	11	92231318	92232101
ENSG00000239086	snoRNA	11	92462496	92462581
ENSG00000255506	antisense	11	92481898	92500033
ENSG00000255127	pseudogene	11	92647768	92649757
ENSG00000255287	pseudogene	11	92670607	92670832
ENSG00000254874	lincRNA	11	92698963	92699769
ENSG00000134640	protein_coding	11	92702886	92718232
ENSG00000242807	pseudogene	11	92785561	92785993
ENSG00000180773	protein_coding	11	92877341	92931130
ENSG00000255445	pseudogene	11	92885241	92885916
ENSG00000233737	pseudogene	11	92954652	92954796
ENSG00000255233	lincRNA	11	92973299	92974334
ENSG00000165325	protein_coding	11	93063137	93171653
ENSG00000221565	miRNA	11	93140991	93141079
ENSG00000166002	protein_coding	11	93211638	93276674
ENSG00000234106	pseudogene	11	93268634	93268982
ENSG00000240202	misc_RNA	11	93290079	93290369
ENSG00000255515	pseudogene	11	93342926	93343499
ENSG00000166004	protein_coding	11	93394805	93463522
ENSG00000199875	misc_RNA	11	93452769	93452881
ENSG00000254911	antisense	11	93454679	93455032
ENSG00000166012	protein_coding	11	93463114	93517557
ENSG00000207112	snoRNA	11	93463679	93463812
ENSG00000206799	snoRNA	11	93464145	93464265
ENSG00000202314	snoRNA	11	93464668	93464740
ENSG00000206834	snoRNA	11	93465170	93465299
ENSG00000207304	snoRNA	11	93465527	93465665
ENSG00000239195	snoRNA	11	93466394	93466466
ENSG00000207145	snoRNA	11	93466632	93466763
ENSG00000221170	miRNA	11	93466840	93466930
ENSG00000210825	snoRNA	11	93468277	93468402
ENSG00000182919	protein_coding	11	93474757	93497915
ENSG00000042429	protein_coding	11	93517393	93547861
ENSG00000238437	snoRNA	11	93530379	93530479
ENSG00000265292	misc_RNA	11	93533649	93533916
ENSG00000214376	protein_coding	11	93551398	93583697
ENSG00000206911	misc_RNA	11	93560788	93560900
ENSG00000255995	pseudogene	11	93724512	93724595
ENSG00000256752	pseudogene	11	93731809	93732384
ENSG00000181333	protein_coding	11	93754527	93846917
ENSG00000227593	pseudogene	11	93788189	93789138
ENSG00000110218	protein_coding	11	93862094	93915138
ENSG00000256745	pseudogene	11	93921615	93922163
ENSG00000250519	lincRNA	11	93971316	94012372
ENSG00000183560	protein_coding	11	94038759	94040887
ENSG00000123901	protein_coding	11	94110477	94134585
ENSG00000263966	miRNA	11	94149876	94149927
ENSG00000020922	protein_coding	11	94152895	94227074
ENSG00000221230	miRNA	11	94199661	94199746
ENSG00000255893	antisense	11	94206074	94206736
ENSG00000168876	protein_coding	11	94226795	94232749
ENSG00000257057	lincRNA	11	94245747	94265289
ENSG00000134627	protein_coding	11	94277006	94354587
ENSG00000196371	protein_coding	11	94277017	94283063
ENSG00000255929	antisense	11	94278496	94473521
ENSG00000233536	lincRNA	11	94371204	94373999
ENSG00000255666	lincRNA	11	94375073	94384797
ENSG00000166025	protein_coding	11	94439597	94609918
ENSG00000256469	antisense	11	94607217	94658686
ENSG00000213368	pseudogene	11	94646212	94646931
ENSG00000150316	protein_coding	11	94695787	94706776
ENSG00000186280	protein_coding	11	94706845	94732682
ENSG00000255653	pseudogene	11	94745022	94745696
ENSG00000235268	protein_coding	11	94758422	94760760
ENSG00000256779	pseudogene	11	94770646	94771620
ENSG00000257012	pseudogene	11	94773575	94774735
ENSG00000255855	pseudogene	11	94782586	94784109
ENSG00000180771	pseudogene	11	94800056	94804388
ENSG00000271885	polymorphic_pseudogene	11	94800361	94802388
ENSG00000149218	protein_coding	11	94822974	94865809
ENSG00000270689	pseudogene	11	94876801	94878289
ENSG00000270578	pseudogene	11	94878601	94879168
ENSG00000245552	antisense	11	94883703	94967268
ENSG00000149212	protein_coding	11	94898704	94965705
ENSG00000201204	misc_RNA	11	95206436	95206538
ENSG00000250390	lincRNA	11	95215570	95230717
ENSG00000255605	lincRNA	11	95431250	95433787
ENSG00000077458	protein_coding	11	95502106	95523573
ENSG00000166037	protein_coding	11	95523129	95565857
ENSG00000256885	pseudogene	11	95556681	95557336
ENSG00000087053	protein_coding	11	95566046	95658479
ENSG00000222578	rRNA	11	95573181	95573288
ENSG00000242993	pseudogene	11	95696383	95696788
ENSG00000184384	protein_coding	11	95709762	96076344
ENSG00000266192	miRNA	11	96074602	96074690
ENSG00000149231	protein_coding	11	96085933	96123087
ENSG00000183340	protein_coding	11	96123153	96240738
ENSG00000255679	lincRNA	11	96180296	96239990
ENSG00000200411	rRNA	11	96207736	96207856
ENSG00000256684	lincRNA	11	96241589	96247912
ENSG00000254587	lincRNA	11	96461317	96584822
ENSG00000255376	pseudogene	11	96513671	96514225
ENSG00000255205	pseudogene	11	96871274	96871711
ENSG00000270753	pseudogene	11	96957160	96957682
ENSG00000255039	lincRNA	11	97093644	97130987
ENSG00000199315	rRNA	11	97528464	97528582
ENSG00000255502	lincRNA	11	97749781	97813762
ENSG00000254555	pseudogene	11	97779253	97779537
ENSG00000216073	miRNA	11	97783797	97783889
ENSG00000255380	pseudogene	11	98000967	98001926
ENSG00000254939	pseudogene	11	98435804	98437557
ENSG00000254599	lincRNA	11	98547121	98554465
ENSG00000254830	lincRNA	11	98809642	98815809
ENSG00000149972	protein_coding	11	98891683	100229616
ENSG00000223269	misc_RNA	11	98990906	98991220
ENSG00000266616	miRNA	11	99295669	99295736
ENSG00000255547	pseudogene	11	100207588	100208357
ENSG00000242165	misc_RNA	11	100512709	100513004
ENSG00000255059	pseudogene	11	100537190	100537693
ENSG00000248027	antisense	11	100554893	100558686
ENSG00000165895	protein_coding	11	100558384	100862668
ENSG00000265208	miRNA	11	100665172	100665266
ENSG00000200047	misc_RNA	11	100710361	100710677
ENSG00000238388	snoRNA	11	100805005	100805109
ENSG00000170647	protein_coding	11	100862811	100864663
ENSG00000082175	protein_coding	11	100900355	101001255
ENSG00000255504	pseudogene	11	101018881	101080322
ENSG00000137672	protein_coding	11	101322295	101743293
ENSG00000263885	miRNA	11	101390551	101390636
ENSG00000254506	pseudogene	11	101455026	101465887
ENSG00000254534	pseudogene	11	101636666	101640692
ENSG00000187151	protein_coding	11	101761405	101787253
ENSG00000110318	protein_coding	11	101785746	101871789
ENSG00000137691	protein_coding	11	101918174	101955291
ENSG00000252679	snoRNA	11	101927694	101927748
ENSG00000239154	snoRNA	11	101929036	101929139
ENSG00000260008	sense_overlapping	11	101978617	101980573
ENSG00000137693	protein_coding	11	101981192	102104154
ENSG00000254422	antisense	11	102100582	102101653
ENSG00000243777	pseudogene	11	102165791	102166537
ENSG00000270868	pseudogene	11	102176843	102177002
ENSG00000271600	pseudogene	11	102179288	102179528
ENSG00000212466	snRNA	11	102184453	102184560
ENSG00000023445	protein_coding	11	102188215	102210134
ENSG00000110330	protein_coding	11	102217942	102249401
ENSG00000152558	protein_coding	11	102267063	102341115
ENSG00000255337	antisense	11	102323650	102332739
ENSG00000255482	protein_coding	11	102337986	102369532
ENSG00000137673	protein_coding	11	102391239	102401484
ENSG00000137674	protein_coding	11	102447566	102496063
ENSG00000256916	antisense	11	102477647	102498801
ENSG00000255798	protein_coding	11	102552041	102554644
ENSG00000137675	protein_coding	11	102562218	102576537
ENSG00000118113	protein_coding	11	102582526	102597781
ENSG00000255282	pseudogene	11	102617699	102707497
ENSG00000225678	pseudogene	11	102621801	102625674
ENSG00000256254	pseudogene	11	102637532	102638658
ENSG00000166670	protein_coding	11	102641234	102651359
ENSG00000196611	protein_coding	11	102660651	102668891
ENSG00000256035	pseudogene	11	102677679	102678647
ENSG00000149968	protein_coding	11	102706532	102714534
ENSG00000110347	processed_transcript	11	102733467	102745764
ENSG00000255469	pseudogene	11	102751222	102751576
ENSG00000238562	snRNA	11	102774622	102774683
ENSG00000137745	protein_coding	11	102813724	102826463
ENSG00000239861	pseudogene	11	102915966	102916441
ENSG00000260966	sense_overlapping	11	102921416	102926528
ENSG00000137692	protein_coding	11	102932805	102962944
ENSG00000187240	protein_coding	11	102980160	103350591
ENSG00000254895	pseudogene	11	103272741	103273314
ENSG00000254931	pseudogene	11	103273316	103274150
ENSG00000255417	pseudogene	11	103274240	103274895
ENSG00000255350	pseudogene	11	103275037	103276562
ENSG00000254565	pseudogene	11	103276941	103277969
ENSG00000253245	pseudogene	11	103278169	103279104
ENSG00000254824	pseudogene	11	103280308	103280385
ENSG00000254987	lincRNA	11	103546722	103765999
ENSG00000264200	miRNA	11	103720634	103720708
ENSG00000170962	protein_coding	11	103777914	104035107
ENSG00000255548	antisense	11	103816276	103817274
ENSG00000170967	protein_coding	11	103907308	103909922
ENSG00000252251	rRNA	11	104123307	104123343
ENSG00000256422	lincRNA	11	104316596	104480049
ENSG00000270449	pseudogene	11	104553111	104553309
ENSG00000254569	pseudogene	11	104743991	104744144
ENSG00000204403	protein_coding	11	104756445	104769397
ENSG00000235505	pseudogene	11	104772276	104789800
ENSG00000196954	protein_coding	11	104813593	104840163
ENSG00000137757	protein_coding	11	104864962	104893895
ENSG00000137752	protein_coding	11	104896170	104972158
ENSG00000204397	protein_coding	11	104912053	104972158
ENSG00000254750	pseudogene	11	104934072	104942268
ENSG00000255221	protein_coding	11	104963196	104972158
ENSG00000255430	pseudogene	11	104993388	104994066
ENSG00000255501	protein_coding	11	105008448	105010453
ENSG00000254998	lincRNA	11	105028654	105402424
ENSG00000254767	pseudogene	11	105065167	105065673
ENSG00000255336	pseudogene	11	105117607	105117787
ENSG00000152578	protein_coding	11	105480721	105852819
ENSG00000255403	pseudogene	11	105577025	105578663
ENSG00000222663	snRNA	11	105695360	105695496
ENSG00000263371	miRNA	11	105804680	105804760
ENSG00000252081	snRNA	11	105845553	105845658
ENSG00000170903	protein_coding	11	105866350	105893130
ENSG00000182359	protein_coding	11	105921825	105948492
ENSG00000149313	protein_coding	11	105946228	105969437
ENSG00000254433	antisense	11	105956717	105972702
ENSG00000254580	lincRNA	11	105983186	106002843
ENSG00000254811	pseudogene	11	106120746	106135632
ENSG00000255065	pseudogene	11	106180772	106182518
ENSG00000152402	protein_coding	11	106544738	106889250
ENSG00000264542	miRNA	11	106672075	106672218
ENSG00000213252	pseudogene	11	106697118	106698616
ENSG00000255353	pseudogene	11	107047012	107048256
ENSG00000261098	lincRNA	11	107182858	107186997
ENSG00000152404	protein_coding	11	107197071	107328572
ENSG00000225215	pseudogene	11	107274130	107275315
ENSG00000137760	protein_coding	11	107373452	107436472
ENSG00000270969	pseudogene	11	107456627	107457629
ENSG00000110675	protein_coding	11	107461817	107537505
ENSG00000268467	protein_coding	11	107462471	107463949
ENSG00000255483	pseudogene	11	107471105	107471594
ENSG00000254758	pseudogene	11	107513613	107514597
ENSG00000170290	protein_coding	11	107578104	107590419
ENSG00000268602	protein_coding	11	107582998	107595135
ENSG00000254702	pseudogene	11	107606735	107609444
ENSG00000214306	protein_coding	11	107643129	107647344
ENSG00000214305	protein_coding	11	107650219	107652316
ENSG00000110660	protein_coding	11	107661717	107799019
ENSG00000240652	pseudogene	11	107779146	107779490
ENSG00000179331	protein_coding	11	107799229	107834208
ENSG00000166266	protein_coding	11	107879459	107978503
ENSG00000200855	misc_RNA	11	107955640	107955741
ENSG00000255467	antisense	11	107975801	107992411
ENSG00000075239	protein_coding	11	107992243	108018503
ENSG00000149308	protein_coding	11	108027942	108093369
ENSG00000149311	protein_coding	11	108093211	108239829
ENSG00000206967	misc_RNA	11	108100230	108100331
ENSG00000269042	protein_coding	11	108130255	108136480
ENSG00000166323	protein_coding	11	108179246	108338258
ENSG00000221607	miRNA	11	108340182	108340279
ENSG00000178202	protein_coding	11	108342832	108369159
ENSG00000110723	protein_coding	11	108376158	108464465
ENSG00000178105	protein_coding	11	108535752	108811657
ENSG00000240698	pseudogene	11	108561016	108561683
ENSG00000254730	pseudogene	11	108598468	108600831
ENSG00000255379	pseudogene	11	108693060	108693377
ENSG00000203334	pseudogene	11	108828445	108830523
ENSG00000255528	lincRNA	11	108873192	108908694
ENSG00000201243	snRNA	11	108876244	108876350
ENSG00000200613	rRNA	11	108991605	108991713
ENSG00000264997	snoRNA	11	109134221	109134291
ENSG00000255028	antisense	11	109225812	109454633
ENSG00000185742	protein_coding	11	109292846	109299840
ENSG00000254890	pseudogene	11	109357694	109358150
ENSG00000254482	pseudogene	11	109508194	109508854
ENSG00000254659	lincRNA	11	109622168	109694573
ENSG00000254798	pseudogene	11	109777730	109778467
ENSG00000224776	pseudogene	11	109852918	109853769
ENSG00000270423	pseudogene	11	109855969	109856386
ENSG00000255210	pseudogene	11	109920253	109920885
ENSG00000149289	protein_coding	11	109964087	110042566
ENSG00000137710	protein_coding	11	110045605	110167447
ENSG00000254416	lincRNA	11	110225855	110277124
ENSG00000137714	protein_coding	11	110300607	110335605
ENSG00000137727	protein_coding	11	110447766	110583912
ENSG00000233497	pseudogene	11	110658749	110659735
ENSG00000255149	pseudogene	11	110747718	110747901
ENSG00000200168	rRNA	11	110910822	110910932
ENSG00000271390	lincRNA	11	110960594	110961092
ENSG00000271584	lincRNA	11	110962656	110968081
ENSG00000239354	pseudogene	11	110976271	110976619
ENSG00000270202	pseudogene	11	110977784	110978474
ENSG00000150750	protein_coding	11	111126707	111157126
ENSG00000196167	protein_coding	11	111164114	111175770
ENSG00000214290	protein_coding	11	111169565	111179460
ENSG00000264032	miRNA	11	111218482	111218549
ENSG00000110777	protein_coding	11	111222977	111326355
ENSG00000253099	snRNA	11	111253817	111253944
ENSG00000255428	sense_intronic	11	111284967	111288911
ENSG00000255208	antisense	11	111320593	111322036
ENSG00000255093	protein_coding	11	111322064	111328876
ENSG00000137707	protein_coding	11	111338251	111383079
ENSG00000207811	miRNA	11	111383663	111383746
ENSG00000207562	miRNA	11	111384164	111384240
ENSG00000254980	antisense	11	111384768	111397480
ENSG00000183644	protein_coding	11	111385510	111407756
ENSG00000204381	protein_coding	11	111411005	111432264
ENSG00000170145	protein_coding	11	111473115	111601577
ENSG00000235286	pseudogene	11	111541680	111543128
ENSG00000223324	misc_RNA	11	111553835	111554148
ENSG00000137713	protein_coding	11	111597632	111637151
ENSG00000254990	lincRNA	11	111639392	111649074
ENSG00000086848	protein_coding	11	111652919	111742305
ENSG00000258529	protein_coding	11	111657010	111750149
ENSG00000254450	sense_intronic	11	111687938	111699936
ENSG00000254949	pseudogene	11	111734977	111735183
ENSG00000255561	protein_coding	11	111744780	111751967
ENSG00000137720	protein_coding	11	111749659	111756699
ENSG00000176343	pseudogene	11	111759923	111760198
ENSG00000109846	protein_coding	11	111779289	111794446
ENSG00000170276	protein_coding	11	111782966	111789574
ENSG00000254445	protein_coding	11	111783460	111797595
ENSG00000149300	protein_coding	11	111788756	111797596
ENSG00000150764	protein_coding	11	111797868	111893308
ENSG00000238965	rRNA	11	111799124	111799232
ENSG00000255286	pseudogene	11	111816363	111817616
ENSG00000255334	sense_intronic	11	111886031	111886848
ENSG00000150768	protein_coding	11	111895538	111935114
ENSG00000230911	pseudogene	11	111900582	111901091
ENSG00000238444	snRNA	11	111903223	111903322
ENSG00000271025	pseudogene	11	111907351	111907587
ENSG00000150773	protein_coding	11	111934734	111944998
ENSG00000150776	protein_coding	11	111944810	111955874
ENSG00000150779	protein_coding	11	111955524	111957522
ENSG00000204370	protein_coding	11	111957497	111990353
ENSG00000255292	protein_coding	11	111957627	112064528
ENSG00000150782	protein_coding	11	112013974	112034840
ENSG00000254638	antisense	11	112035920	112043329
ENSG00000150783	protein_coding	11	112038095	112043282
ENSG00000272790	protein_coding	11	112041253	112071394
ENSG00000197580	protein_coding	11	112046190	112095422
ENSG00000214264	pseudogene	11	112051496	112053914
ENSG00000255231	pseudogene	11	112079324	112079621
ENSG00000243930	pseudogene	11	112089049	112089443
ENSG00000150787	protein_coding	11	112097088	112140678
ENSG00000243250	pseudogene	11	112106094	112106748
ENSG00000215954	miRNA	11	112118553	112118647
ENSG00000188771	protein_coding	11	112118876	112131583
ENSG00000268472	protein_coding	11	112130988	112132117
ENSG00000213234	pseudogene	11	112138013	112139094
ENSG00000250303	processed_transcript	11	112141472	112233257
ENSG00000206772	snRNA	11	112223279	112223385
ENSG00000254968	lincRNA	11	112263841	112492452
ENSG00000213233	pseudogene	11	112332191	112332643
ENSG00000255484	lincRNA	11	112404945	112426525
ENSG00000212397	snoRNA	11	112473077	112473175
ENSG00000254626	lincRNA	11	112658027	112666577
ENSG00000247416	antisense	11	112830002	112834182
ENSG00000149294	protein_coding	11	112831997	113149158
ENSG00000238998	snRNA	11	112848075	112848142
ENSG00000227487	antisense	11	113140254	113144623
ENSG00000255129	antisense	11	113149159	113185159
ENSG00000149292	protein_coding	11	113185251	113254266
ENSG00000270179	sense_intronic	11	113239200	113239839
ENSG00000170209	protein_coding	11	113258513	113271140
ENSG00000256757	antisense	11	113276043	113282839
ENSG00000149295	protein_coding	11	113280318	113346413
ENSG00000265140	miRNA	11	113320745	113320810
ENSG00000166682	protein_coding	11	113558272	113577095
ENSG00000256091	pseudogene	11	113582442	113583120
ENSG00000086827	protein_coding	11	113603909	113644533
ENSG00000243353	pseudogene	11	113621838	113622008
ENSG00000257070	pseudogene	11	113640382	113640716
ENSG00000256603	antisense	11	113641115	113642413
ENSG00000228607	protein_coding	11	113650469	113651222
ENSG00000256167	pseudogene	11	113659953	113662088
ENSG00000255870	pseudogene	11	113659964	113660749
ENSG00000257101	pseudogene	11	113662188	113662474
ENSG00000048028	protein_coding	11	113668596	113746292
ENSG00000256452	antisense	11	113688799	113693180
ENSG00000255710	pseudogene	11	113691578	113692607
ENSG00000201687	snRNA	11	113730068	113730171
ENSG00000149305	protein_coding	11	113775399	113817287
ENSG00000166736	protein_coding	11	113845603	113861035
ENSG00000109906	protein_coding	11	113930315	114121398
ENSG00000221112	miRNA	11	113957533	113957651
ENSG00000256947	antisense	11	114081338	114227293
ENSG00000166741	protein_coding	11	114128509	114184007
ENSG00000256195	antisense	11	114231357	114250767
ENSG00000180425	protein_coding	11	114262165	114271139
ENSG00000076053	protein_coding	11	114270752	114284925
ENSG00000255663	protein_coding	11	114271404	114314654
ENSG00000076043	protein_coding	11	114310108	114321001
ENSG00000256533	pseudogene	11	114323786	114324845
ENSG00000255982	pseudogene	11	114383428	114384153
ENSG00000270204	pseudogene	11	114388586	114389093
ENSG00000095110	protein_coding	11	114392437	114430617
ENSG00000238724	snoRNA	11	114397851	114397954
ENSG00000137634	protein_coding	11	114441313	114466484
ENSG00000256674	pseudogene	11	114453975	114455414
ENSG00000204361	protein_coding	11	114549108	114579362
ENSG00000252870	snoRNA	11	114998938	114999093
ENSG00000182985	protein_coding	11	115039938	115375675
ENSG00000256972	lincRNA	11	115204296	115210981
ENSG00000255580	lincRNA	11	115234348	115248649
ENSG00000256315	processed_transcript	11	115267474	115268376
ENSG00000256281	lincRNA	11	115403040	115403671
ENSG00000257087	pseudogene	11	115409587	115410102
ENSG00000255903	pseudogene	11	115448767	115448961
ENSG00000255689	lincRNA	11	115453015	115471057
ENSG00000239153	snoRNA	11	115497800	115497903
ENSG00000255599	lincRNA	11	115498783	115500461
ENSG00000260254	lincRNA	11	115509281	115517680
ENSG00000256717	lincRNA	11	115530376	115713864
ENSG00000246100	lincRNA	11	115624966	115631345
ENSG00000257067	lincRNA	11	115803492	115813713
ENSG00000244259	pseudogene	11	115820914	115821519
ENSG00000239600	pseudogene	11	115821823	115822209
ENSG00000238625	snoRNA	11	116191061	116191162
ENSG00000236437	lincRNA	11	116367616	116371347
ENSG00000237937	lincRNA	11	116510139	116528969
ENSG00000137656	protein_coding	11	116618886	116643704
ENSG00000226645	antisense	11	116644105	116644921
ENSG00000231611	lincRNA	11	116645826	116646592
ENSG00000109917	protein_coding	11	116648436	116658766
ENSG00000110243	protein_coding	11	116660083	116663136
ENSG00000236267	antisense	11	116683920	116684719
ENSG00000110244	protein_coding	11	116691419	116694022
ENSG00000110245	protein_coding	11	116700422	116703788
ENSG00000118137	protein_coding	11	116706467	116708666
ENSG00000235910	antisense	11	116706833	116726445
ENSG00000160584	protein_coding	11	116714118	116969153
ENSG00000231865	sense_intronic	11	116756762	116761437
ENSG00000264344	miRNA	11	116886146	116886245
ENSG00000200537	misc_RNA	11	116886613	116886708
ENSG00000234268	pseudogene	11	116906513	116906767
ENSG00000224077	antisense	11	116969703	116978886
ENSG00000225236	pseudogene	11	116988510	116989897
ENSG00000254851	pseudogene	11	117006244	117009298
ENSG00000254678	pseudogene	11	117014607	117014907
ENSG00000168092	protein_coding	11	117014983	117047610
ENSG00000149577	protein_coding	11	117049449	117068160
ENSG00000149591	protein_coding	11	117070037	117075498
ENSG00000160613	protein_coding	11	117075053	117103241
ENSG00000167257	protein_coding	11	117103341	117157161
ENSG00000252992	snoRNA	11	117134515	117134668
ENSG00000186318	protein_coding	11	117156402	117186975
ENSG00000110274	protein_coding	11	117185273	117283984
ENSG00000250699	antisense	11	117187078	117198754
ENSG00000271412	pseudogene	11	117206972	117207347
ENSG00000177103	protein_coding	11	117298489	117688240
ENSG00000270403	lincRNA	11	117539198	117539573
ENSG00000137731	protein_coding	11	117671559	117699413
ENSG00000254844	antisense	11	117689158	117693172
ENSG00000255245	protein_coding	11	117690878	117747382
ENSG00000254528	antisense	11	117704434	117709657
ENSG00000137726	protein_coding	11	117707693	117748201
ENSG00000137747	protein_coding	11	117771358	117800174
ENSG00000110324	protein_coding	11	117857063	117872196
ENSG00000255274	antisense	11	117886487	117957508
ENSG00000272075	misc_RNA	11	117937952	117938252
ENSG00000137648	protein_coding	11	117947753	117992605
ENSG00000177098	protein_coding	11	118004092	118023603
ENSG00000149575	protein_coding	11	118032666	118047388
ENSG00000160593	protein_coding	11	118064455	118095809
ENSG00000255163	pseudogene	11	118079647	118079926
ENSG00000160588	protein_coding	11	118097409	118123065
ENSG00000149573	protein_coding	11	118124118	118135251
ENSG00000198851	protein_coding	11	118175260	118186890
ENSG00000254992	pseudogene	11	118193504	118193798
ENSG00000167286	protein_coding	11	118209669	118213459
ENSG00000160654	protein_coding	11	118215059	118225876
ENSG00000110344	protein_coding	11	118230300	118269926
ENSG00000254873	protein_coding	11	118267810	118272610
ENSG00000167283	protein_coding	11	118271869	118302211
ENSG00000269944	sense_intronic	11	118286692	118287236
ENSG00000263889	misc_RNA	11	118301123	118301419
ENSG00000255384	protein_coding	11	118303836	118305921
ENSG00000118058	protein_coding	11	118307205	118397539
ENSG00000255435	antisense	11	118382626	118401809
ENSG00000172425	protein_coding	11	118398187	118401912
ENSG00000149582	protein_coding	11	118401756	118417995
ENSG00000118096	protein_coding	11	118415243	118443685
ENSG00000243431	pseudogene	11	118431405	118432295
ENSG00000095139	protein_coding	11	118443105	118473748
ENSG00000207185	snRNA	11	118464703	118464808
ENSG00000019144	protein_coding	11	118477155	118528741
ENSG00000255176	antisense	11	118507338	118508815
ENSG00000118094	protein_coding	11	118528026	118550399
ENSG00000255239	pseudogene	11	118558748	118561309
ENSG00000207462	snRNA	11	118573051	118573156
ENSG00000255422	antisense	11	118575316	118620973
ENSG00000110367	protein_coding	11	118620034	118661858
ENSG00000254478	pseudogene	11	118692604	118692793
ENSG00000254621	pseudogene	11	118704555	118705265
ENSG00000201535	misc_RNA	11	118706719	118706819
ENSG00000160683	protein_coding	11	118754475	118768508
ENSG00000245869	antisense	11	118756550	118758451
ENSG00000186174	protein_coding	11	118764584	118796317
ENSG00000264211	miRNA	11	118781417	118781496
ENSG00000110375	protein_coding	11	118795873	118829269
ENSG00000239726	misc_RNA	11	118801920	118802184
ENSG00000264523	antisense	11	118821578	118824153
ENSG00000222529	misc_RNA	11	118841208	118841305
ENSG00000176302	protein_coding	11	118842417	118852001
ENSG00000242712	misc_RNA	11	118865044	118865343
ENSG00000255121	lincRNA	11	118865534	118868714
ENSG00000186166	protein_coding	11	118868852	118886501
ENSG00000240970	pseudogene	11	118873722	118874156
ENSG00000254428	antisense	11	118874452	118875603
ENSG00000254909	pseudogene	11	118876437	118876644
ENSG00000118181	protein_coding	11	118886422	118889401
ENSG00000196655	protein_coding	11	118889142	118896164
ENSG00000266398	miRNA	11	118889654	118889722
ENSG00000137700	protein_coding	11	118894824	118901616
ENSG00000255114	antisense	11	118914899	118916205
ENSG00000149428	protein_coding	11	118914900	118927913
ENSG00000271751	lincRNA	11	118935974	118936388
ENSG00000272186	antisense	11	118938085	118938409
ENSG00000160695	protein_coding	11	118938403	118952688
ENSG00000256269	protein_coding	11	118955576	118964259
ENSG00000188486	protein_coding	11	118964564	118966177
ENSG00000172269	protein_coding	11	118967213	118979041
ENSG00000172375	protein_coding	11	118972908	118989252
ENSG00000172273	protein_coding	11	118992297	119006752
ENSG00000172350	protein_coding	11	119019722	119033360
ENSG00000268192	protein_coding	11	119027590	119027930
ENSG00000160703	protein_coding	11	119037277	119054725
ENSG00000172367	protein_coding	11	119056166	119060932
ENSG00000248712	protein_coding	11	119060347	119067479
ENSG00000110395	protein_coding	11	119076752	119178859
ENSG00000222249	snRNA	11	119160272	119160387
ENSG00000076706	protein_coding	11	119179241	119192231
ENSG00000252119	snoRNA	11	119194003	119194119
ENSG00000173456	protein_coding	11	119205237	119208023
ENSG00000245385	antisense	11	119206959	119208019
ENSG00000259159	protein_coding	11	119209652	119217368
ENSG00000223953	protein_coding	11	119209652	119217383
ENSG00000235718	protein_coding	11	119209652	119217383
ENSG00000036672	protein_coding	11	119225925	119252436
ENSG00000254740	antisense	11	119243416	119252323
ENSG00000245248	antisense	11	119252488	119397374
ENSG00000254590	pseudogene	11	119273502	119274798
ENSG00000254892	pseudogene	11	119274673	119274937
ENSG00000154096	protein_coding	11	119288090	119295695
ENSG00000263873	sense_intronic	11	119288661	119289824
ENSG00000255377	pseudogene	11	119315701	119316229
ENSG00000230716	pseudogene	11	119473587	119475018
ENSG00000254561	antisense	11	119479135	119529994
ENSG00000110400	protein_coding	11	119494120	119599794
ENSG00000199217	snRNA	11	119527021	119527126
ENSG00000255247	lincRNA	11	119580630	119584635
ENSG00000254854	antisense	11	119600293	119610333
ENSG00000254406	pseudogene	11	119692013	119692838
ENSG00000254863	lincRNA	11	119858663	119865746
ENSG00000255216	lincRNA	11	119879313	119882867
ENSG00000137699	protein_coding	11	119981983	120056237
ENSG00000176984	protein_coding	11	120039685	120042387
ENSG00000184232	protein_coding	11	120081475	120101041
ENSG00000137709	protein_coding	11	120107349	120190653
ENSG00000259541	antisense	11	120120468	120136641
ENSG00000181264	protein_coding	11	120195838	120204391
ENSG00000196914	protein_coding	11	120207787	120360645
ENSG00000269601	protein_coding	11	120329880	120330047
ENSG00000149403	protein_coding	11	120382468	120859613
ENSG00000204306	protein_coding	11	120382511	120385732
